职业ID,职业名称,技能ID,技能名称,槽位,技能类型,解锁等级,资源类型,资源消耗,冷却毫秒,伤害倍率,射程,AOE半径,效果标签,skillEffect类型,skillEffect模式,游戏内描述,实现类型,实现说明,配置来源文件,主要代码文件
phantom,幻影,phantom_legendary,无影,legendary,passive,60,focus,0,0,0,135,0,passive,,,【传说被动】无影：永久生效，显著强化你的战斗能力。,passive,被动 — executeClassSkill 直接跳过，无战斗释放逻辑,config/skill-config.json,js/skill-system.js (跳过释放)
phantom,幻影,phantom_ultimate,幻影风暴,ultimate,active,55,focus,97,15000,2.55,135,0,burst,,,【终极】对 135 码内最近敌人造成 255% 攻击力伤害，附带爆发伤害。 消耗 97 点集中，冷却 15.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
plaguebringer,瘟疫使者,plaguebringer_adv2_1,传染,adv2_1,active,45,energy,82,13000,2.45,135,0,,,,对 135 码内最近敌人造成 245% 攻击力伤害。 消耗 82 点能量，冷却 13.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
plaguebringer,瘟疫使者,plaguebringer_adv2_2,毒云,adv2_2,active,50,energy,90,14000,2.5,135,0,,,,对 135 码内最近敌人造成 250% 攻击力伤害。 消耗 90 点能量，冷却 14.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
plaguebringer,瘟疫使者,plaguebringer_adv2_awaken,瘟疫爆发,adv2_awaken,active,40,energy,75,12000,2.4,135,0,burst,,,【觉醒】对 135 码内最近敌人造成 240% 攻击力伤害，附带爆发伤害。 消耗 75 点能量，冷却 12.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
plaguebringer,瘟疫使者,plaguebringer_legendary,疫源,legendary,passive,60,energy,0,0,0,135,0,passive,,,【传说被动】疫源：永久生效，显著强化你的战斗能力。,passive,被动 — executeClassSkill 直接跳过，无战斗释放逻辑,config/skill-config.json,js/skill-system.js (跳过释放)
plaguebringer,瘟疫使者,plaguebringer_ultimate,末日瘟疫,ultimate,active,55,energy,97,15000,2.55,135,0,burst,,,【终极】对 135 码内最近敌人造成 255% 攻击力伤害，附带爆发伤害。 消耗 97 点能量，冷却 15.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
ranger,游侠,ranger_adv1_1,冰冻陷阱,adv1_1,active,25,focus,52,9000,2,120,60,control,freeze,hybrid,【技能】对周围 60 范围内敌人造成 200% 攻击力伤害，冰冻敌人。 消耗 52 点集中，冷却 9.0 秒。,hybrid:freeze,冰冻陷阱 — 范围 frozenUntil,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
ranger,游侠,ranger_adv1_2,猛禽俯冲,adv1_2,active,30,focus,60,10000,2.05,120,0,,,,对 120 码内最近敌人造成 205% 攻击力伤害。 消耗 60 点集中，冷却 10.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
ranger,游侠,ranger_adv1_3,自然之触,adv1_3,active,35,focus,67,11000,0,0,0,heal,heal,primary,【治疗】自然之触：恢复最大生命 25% 的生命值。 消耗 67 点集中，冷却 11.0 秒。,primary:heal,治疗 — 直接恢复 maxHp 百分比,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
ranger,游侠,ranger_adv1_awaken,召唤战狼,adv1_awaken,active,20,focus,45,8000,1.95,120,0,burst,,,【觉醒】对 120 码内最近敌人造成 195% 攻击力伤害，附带爆发伤害。 消耗 45 点集中，冷却 8.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
sage,贤者,sage_adv1_1,净化,adv1_1,active,25,mana,52,9000,0,0,0,heal,cleanse,primary,【净化】净化：清除负面效果，3 秒内免疫减速。 消耗 52 点法力，冷却 9.0 秒。,primary:cleanse,净化 — 清除 slowEffects + slowImmune Buff,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
sage,贤者,sage_adv1_2,生命链接,adv1_2,active,30,mana,60,10000,2.05,120,0,,,,对 120 码内最近敌人造成 205% 攻击力伤害。 消耗 60 点法力，冷却 10.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
sage,贤者,sage_adv1_3,复苏,adv1_3,active,35,mana,67,11000,0,0,0,heal,heal,primary,【治疗】复苏：恢复最大生命 35% 的生命值。 消耗 67 点法力，冷却 11.0 秒。,primary:heal,治疗 — 直接恢复 maxHp 百分比,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
sage,贤者,sage_adv1_awaken,治疗波,adv1_awaken,active,20,mana,45,8000,0,0,0,heal,heal,primary,【治疗】治疗波：恢复最大生命 25% 的生命值。 消耗 45 点法力，冷却 8.0 秒。,primary:heal,治疗 — 直接恢复 maxHp 百分比,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
shadowdancer,影舞者,shadowdancer_adv1_1,连环刺,adv1_1,active,25,energy,52,9000,2,120,0,,,,对 120 码内最近敌人造成 200% 攻击力伤害。 消耗 52 点能量，冷却 9.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
shadowdancer,影舞者,shadowdancer_adv1_2,闪避姿态,adv1_2,active,30,energy,60,10000,0,0,0,defense,dodge_buff,primary,【闪避】闪避姿态：5 秒内闪避提升 30%。 消耗 60 点能量，冷却 10.0 秒。,primary:dodge_buff,闪避 Buff — dodge/moveSpeed,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
shadowdancer,影舞者,shadowdancer_adv1_3,暗影步,adv1_3,active,35,energy,67,11000,2.1,120,0,utility,blink_behind,hybrid,【技能】对 120 码内敌人造成 210% 攻击力伤害，瞬移至目标身后。 消耗 67 点能量，冷却 11.0 秒。,hybrid:blink_behind,暗影步 — 瞬移背后 + 背刺伤害,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
shadowdancer,影舞者,shadowdancer_adv1_awaken,影袭,adv1_awaken,active,20,energy,45,8000,1.95,120,0,burst,,,【觉醒】对 120 码内最近敌人造成 195% 攻击力伤害，附带爆发伤害。 消耗 45 点能量，冷却 8.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
temple_knight,神殿骑士,temple_knight_adv2_1,群体援护,adv2_1,active,45,rage,82,13000,0,0,0,defense,guard,primary,【援护】群体援护：2 秒内减伤 70%。 消耗 82 点怒气，冷却 13.0 秒。,primary:guard,援护 — 高减伤 Buff,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
temple_knight,神殿骑士,temple_knight_adv2_2,神圣光环,adv2_2,active,50,rage,90,14000,2.5,135,0,,,,对 135 码内最近敌人造成 250% 攻击力伤害。 消耗 90 点怒气，冷却 14.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
temple_knight,神殿骑士,temple_knight_adv2_awaken,神盾,adv2_awaken,active,40,rage,75,12000,0,0,0,defense,shield,primary,【护盾】神盾：获得相当于最大生命 40% 的护盾，持续 8 秒。 消耗 75 点怒气，冷却 12.0 秒。,primary:shield,护盾 — player.buffs.shieldRemaining，takeDamage 时吸收,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
temple_knight,神殿骑士,temple_knight_legendary,神殿之躯,legendary,passive,60,rage,0,0,0,135,0,passive,,,【传说被动】神殿之躯：永久生效，显著强化你的战斗能力。,passive,被动 — executeClassSkill 直接跳过，无战斗释放逻辑,config/skill-config.json,js/skill-system.js (跳过释放)
temple_knight,神殿骑士,temple_knight_ultimate,最终守护,ultimate,active,55,rage,97,15000,2.55,135,0,burst,,,【终极】对 135 码内最近敌人造成 255% 攻击力伤害，附带爆发伤害。 消耗 97 点怒气，冷却 15.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
trickster,诡术师,trickster_adv1_1,迷惑,adv1_1,active,25,energy,52,9000,2,120,0,control,slow,hybrid,【技能】对 120 码内敌人造成 200% 攻击力伤害，减速 60%。 消耗 52 点能量，冷却 9.0 秒。,hybrid:slow,伤害+减速 — monster.slowEffects,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
trickster,诡术师,trickster_adv1_2,替身,adv1_2,active,30,energy,60,10000,2.05,120,0,,,,对 120 码内最近敌人造成 205% 攻击力伤害。 消耗 60 点能量，冷却 10.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
trickster,诡术师,trickster_adv1_3,诡计,adv1_3,active,35,energy,67,11000,2.1,120,0,,,,对 120 码内最近敌人造成 210% 攻击力伤害。 消耗 67 点能量，冷却 11.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
trickster,诡术师,trickster_adv1_awaken,幻象,adv1_awaken,active,20,energy,45,8000,1.95,120,0,burst,,,【觉醒】对 120 码内最近敌人造成 195% 攻击力伤害，附带爆发伤害。 消耗 45 点能量，冷却 8.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
venomancer,毒师,venomancer_adv1_1,毒雾,adv1_1,active,25,energy,52,9000,2,120,0,,,,对 120 码内最近敌人造成 200% 攻击力伤害。 消耗 52 点能量，冷却 9.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
venomancer,毒师,venomancer_adv1_2,腐蚀,adv1_2,active,30,energy,60,10000,2.05,120,0,,,,对 120 码内最近敌人造成 205% 攻击力伤害。 消耗 60 点能量，冷却 10.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
venomancer,毒师,venomancer_adv1_3,瘟疫,adv1_3,active,35,energy,67,11000,2.1,120,0,,,,对 120 码内最近敌人造成 210% 攻击力伤害。 消耗 67 点能量，冷却 11.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
venomancer,毒师,venomancer_adv1_awaken,剧毒之刃,adv1_awaken,active,20,energy,45,8000,1.95,120,0,burst,,,【觉醒】对 120 码内最近敌人造成 195% 攻击力伤害，附带爆发伤害。 消耗 45 点能量，冷却 8.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
warlock,术士,warlock_adv1_1,生命吸取,adv1_1,active,25,mana,52,9000,0.8,120,0,heal,life_drain,hybrid,【技能】对 120 码内敌人造成 80% 攻击力伤害，并恢复 30% 生命。 消耗 52 点法力，冷却 9.0 秒。,hybrid:life_drain,生命吸取 — 伤害 + 自身回血,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
warlock,术士,warlock_adv1_2,诅咒,adv1_2,active,30,mana,60,10000,0.3,120,0,dot,poison_dot,hybrid,【技能】对 120 码内敌人造成 30% 攻击力伤害，附带持续毒伤。 消耗 60 点法力，冷却 10.0 秒。,hybrid:poison_dot,伤害+毒 DOT — player.weaponSkillDots 每秒 tick,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
warlock,术士,warlock_adv1_3,灵魂链接,adv1_3,active,35,mana,67,11000,2.1,120,0,,,,对 120 码内最近敌人造成 210% 攻击力伤害。 消耗 67 点法力，冷却 11.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
warlock,术士,warlock_adv1_awaken,暗影箭,adv1_awaken,active,20,mana,45,8000,1.95,120,0,burst,,,【觉醒】对 120 码内最近敌人造成 195% 攻击力伤害，附带爆发伤害。 消耗 45 点法力，冷却 8.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
warrior,战士,warrior_basic,横斩,basic,basic,1,rage,0,800,1,55,0,,,,【普攻】对前方目标造成 100% 攻击力伤害。 冷却 0.8 秒。,basic_attack,普攻 — 走玩家普通攻击逻辑 Player.attack()，非 executeClassSkill,config/skill-config.json,js/game-entities.js (Player.attack)
warrior,战士,warrior_skill1,盾击,skill1,active,3,rage,19,4600,1.5,105,0,control,stun,hybrid,【技能】对 105 码内敌人造成 150% 攻击力伤害，眩晕 1.5 秒。 消耗 19 点怒气，冷却 4.6 秒。,hybrid:stun,伤害+眩晕 — takeDamage 后 monster.frozenUntil,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
warrior,战士,warrior_skill2,冲锋,skill2,active,6,rage,24,5200,1.55,105,0,utility,charge,hybrid,【技能】对 105 码内敌人造成 155% 攻击力伤害，冲锋并减速目标。 消耗 24 点怒气，冷却 5.2 秒。,hybrid:charge,冲锋 — blinkTo 接近目标 + 路径伤害 + 减速,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
warrior,战士,warrior_skill3,防御姿态,skill3,active,15,rage,37,7000,0,0,0,defense,damage_reduction,primary,【防御】防御姿态：5 秒内减伤 30%。 消耗 37 点怒气，冷却 7.0 秒。,primary:damage_reduction,减伤 Buff — applyClassSkillPrimaryEffect → player.buffs + updateStats,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
warrior,战士,warrior_team,战吼,team,active,10,rage,30,6000,0,0,0,buff,attack_buff,primary,【增益】战吼：8 秒内攻击力提升 15%。 消耗 30 点怒气，冷却 6.0 秒。,primary:attack_buff,加攻 Buff — player.buffs.effects.attackPercent,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
windrunner,风行者,windrunner_adv1_1,风刃,adv1_1,active,25,focus,52,9000,2,120,0,,,,对 120 码内最近敌人造成 200% 攻击力伤害。 消耗 52 点集中，冷却 9.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
windrunner,风行者,windrunner_adv1_2,旋风箭,adv1_2,active,30,focus,60,10000,2.05,120,0,,,,对 120 码内最近敌人造成 205% 攻击力伤害。 消耗 60 点集中，冷却 10.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
windrunner,风行者,windrunner_adv1_3,风之庇护,adv1_3,active,35,focus,67,11000,0,0,0,defense,dodge_buff,primary,【闪避】风之庇护：4 秒内闪避提升 25%，移速提升 20%。 消耗 67 点集中，冷却 11.0 秒。,primary:dodge_buff,闪避 Buff — dodge/moveSpeed,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
windrunner,风行者,windrunner_adv1_awaken,疾风步,adv1_awaken,active,20,focus,45,8000,0,0,0,utility,blink,primary,【位移】疾风步：向面朝方向瞬移 80 码。 消耗 45 点集中，冷却 8.0 秒。,primary:blink,位移 — blinkTo 瞬移 + 短暂无敌,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
wizard,巫师,wizard_adv1_1,连锁闪电,adv1_1,active,25,mana,52,9000,2,120,0,,,,对 120 码内最近敌人造成 200% 攻击力伤害。 消耗 52 点法力，冷却 9.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
wizard,巫师,wizard_adv1_2,元素护盾,adv1_2,active,30,mana,60,10000,0,0,0,defense,shield,primary,【护盾】元素护盾：获得相当于最大生命 22% 的护盾，持续 8 秒。 消耗 60 点法力，冷却 10.0 秒。,primary:shield,护盾 — player.buffs.shieldRemaining，takeDamage 时吸收,config/skill-config.json,js/skill-system.js + js/class-skill-effects.js
wizard,巫师,wizard_adv1_3,法力燃烧,adv1_3,active,35,mana,67,11000,2.1,120,0,,,,对 120 码内最近敌人造成 210% 攻击力伤害。 消耗 67 点法力，冷却 11.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
wizard,巫师,wizard_adv1_awaken,奥术爆发,adv1_awaken,active,20,mana,45,8000,1.95,120,0,burst,,,【觉醒】对 120 码内最近敌人造成 195% 攻击力伤害，附带爆发伤害。 消耗 45 点法力，冷却 8.0 秒。,standard_damage,标准伤害 — executeClassSkill 单目标/AOE 伤害（burst 标签仅描述用）,config/skill-config.json,js/skill-system.js (executeClassSkill)
